audio_path,text,duration,source,language
src\autolyrics\data\data\processed\vocals\Burn_Out_Man_-_Abendblau_0000.wav,am ende des tages ist es immer noch arbeit übrig mit anderen ihrer kinder beten brennt dem büro ein licht man sieht dich da die firma retten die sonst zusammenbricht,29.98,Burn_Out_Man_-_Abendblau,de
src\autolyrics\data\data\processed\vocals\Burn_Out_Man_-_Abendblau_0001.wav,na ja kollege eine muss sich ja darum kümmern es ist noch arbeit übrig du hast noch nicht geschafft du musst die welt noch retten sonst wird sie hingeraft,24.04,Burn_Out_Man_-_Abendblau,de
src\autolyrics\data\data\processed\vocals\Burn_Out_Man_-_Abendblau_0002.wav,ich kann machen was ich will am ende der woche ist auch noch arbeit übrig andere hüten kinder du hast nicht mal einen hund du brauchst auch keine wohnung die ruhrschlafe ist ja so,20.92,Burn_Out_Man_-_Abendblau,de
src\autolyrics\data\data\processed\vocals\Burn_Out_Man_-_Abendblau_0003.wav,gesund sonst ist ja keiner da ihr braucht mich doch es ist noch arbeit übrig du hast noch nicht geschafft du musst die welt noch retten sonst wird sie hingeraft,24.959999999999994,Burn_Out_Man_-_Abendblau,de
src\autolyrics\data\data\processed\vocals\Burn_Out_Man_-_Abendblau_0004.wav,burn up man am tag vor dem urlaub ist auch noch arbeit übrig andere packen koffer du stammierst den flug die wichtige bestellung kommt sonst nicht mehr zum zug übernettelier keine außer mir verantwortung,28.52000000000001,Burn_Out_Man_-_Abendblau,de
src\autolyrics\data\data\processed\vocals\Burn_Out_Man_-_Abendblau_0005.wav,es ist noch arbeit übrig du hast noch nicht geschafft du musst die welt noch retten sonst wird sie hingeraft ob er noch mehr kurz vor der end ist auch noch arbeit übrig,26.939999999999998,Burn_Out_Man_-_Abendblau,de
src\autolyrics\data\data\processed\vocals\Burn_Out_Man_-_Abendblau_0006.wav,andere menschen rasen aber du bist noch im amt denn du musst noch was schaffen dazu bist du verdammt mir wird's ja auch zu viel aber wir können doch nicht alles dem aachen untergehen lassen,22.639999999999986,Burn_Out_Man_-_Abendblau,de
src\autolyrics\data\data\processed\vocals\Burn_Out_Man_-_Abendblau_0007.wav,es ist noch arbeit übrig du hast noch nicht geschafft du musst die welt noch retten sonst wird sie hingerauft burn out man meineres lebens ist auch noch arbeit übrig,22.680000000000007,Burn_Out_Man_-_Abendblau,de
src\autolyrics\data\data\processed\vocals\Burn_Out_Man_-_Abendblau_0008.wav,andere dürfen schon monen aber du bist noch nicht tot die welt die braucht dich immer noch als retter in der not bekrat mich wie bei einem laptop ich muss noch meine mails checken ah es ist noch arbeit,25.72,Burn_Out_Man_-_Abendblau,de
src\autolyrics\data\data\processed\vocals\Burn_Out_Man_-_Abendblau_0009.wav,übrig du hast noch nicht geschafft du musst die welt noch retten sonst wird sie hängerecht auf bernhard mer bernhard mer bernhard mer bernhard mer,25.120000000000005,Burn_Out_Man_-_Abendblau,de
src\autolyrics\data\data\processed\vocals\Cafe_Jenseitz_Bebelstraße_-_kangaroo.musique_0000.wav,ich habe mich auf die hände geholfen ich habe mich auf die hände geholfen ich habe mich auf die hände geholfen ich habe mich auf die hände geholfen ich habe mich auf die hände geholfen ich habe mich auf die hände geholfen ich habe mich auf die hände geholfen ich habe mich auf die hände geholfen ich habe mich auf die hände geholfen ich habe mich auf die hände geholfen ich habe mich auf die hände geholfen ich habe mich auf die hände geholfen ich habe mich auf die hände geholfen ich,26.72,Cafe_Jenseitz_Bebelstraße_-_kangaroo.musique,de
src\autolyrics\data\data\processed\vocals\Cafe_Jenseitz_Bebelstraße_-_kangaroo.musique_0001.wav,habe mich auf die hände geholfen wo gibt's den besten milchkaffee in,27.520000000000003,Cafe_Jenseitz_Bebelstraße_-_kangaroo.musique,de
src\autolyrics\data\data\processed\vocals\Cafe_Jenseitz_Bebelstraße_-_kangaroo.musique_0002.wav,mir oder bei bustet wo gibt es frühstück bis nachtswei café jenseits wo wird man immer nicht begrüßt wo tut der chef in der kombüse wo,29.54,Cafe_Jenseitz_Bebelstraße_-_kangaroo.musique,de
src\autolyrics\data\data\processed\vocals\Cafe_Jenseitz_Bebelstraße_-_kangaroo.musique_0003.wav,sieht man dir gern auf dein teil kaffee jenseits wo dreht man gleich den kopf zurück nur weil ein gast die klinge brückt wo sitzt man gerne auch zu zweit im café,30.0,Cafe_Jenseitz_Bebelstraße_-_kangaroo.musique,de
